epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,55330.2,0.96128,0.69602,1.25733,0.90004,0.89464,0.93046,0.71785,0.80952,0.45777,1.15001,0.0085744,0.0085744,0.0085744
74,56085.4,0.95999,0.69218,1.25477,0.90145,0.88827,0.92944,0.71769,0.80857,0.45882,1.14998,0.0085546,0.0085546,0.0085546
75,56840.4,0.95789,0.69158,1.25158,0.90564,0.88008,0.92888,0.71726,0.80891,0.46008,1.15045,0.0085348,0.0085348,0.0085348
76,57598.1,0.96116,0.69183,1.25394,0.90314,0.8845,0.93341,0.71631,0.81061,0.46234,1.15202,0.008515,0.008515,0.008515
77,58352.6,0.96279,0.6907,1.25595,0.89841,0.88823,0.92932,0.71512,0.80952,0.4624,1.1516,0.0084952,0.0084952,0.0084952
78,59108.8,0.95805,0.69348,1.2516,0.90148,0.88415,0.92921,0.71504,0.80857,0.46179,1.15095,0.0084754,0.0084754,0.0084754
79,59862.9,0.95876,0.68659,1.25236,0.89975,0.89022,0.92849,0.71549,0.80557,0.46085,1.14896,0.0084556,0.0084556,0.0084556
80,60620.2,0.95421,0.68465,1.24822,0.9042,0.88678,0.92829,0.71645,0.80301,0.45858,1.1462,0.0084358,0.0084358,0.0084358
81,61382.9,0.95122,0.68415,1.24791,0.92124,0.87547,0.93008,0.71744,0.80299,0.45679,1.14532,0.008416,0.008416,0.008416
82,62144.4,0.95754,0.68866,1.25124,0.90266,0.88679,0.93021,0.71716,0.80306,0.458,1.14592,0.0083962,0.0083962,0.0083962
83,62905.1,0.94989,0.68106,1.24801,0.90127,0.89007,0.93092,0.71877,0.80285,0.45686,1.14556,0.0083764,0.0083764,0.0083764
84,63668.4,0.95104,0.68394,1.24958,0.89768,0.89981,0.9322,0.72006,0.80212,0.45893,1.14402,0.0083566,0.0083566,0.0083566
85,64429.4,0.95543,0.68299,1.24923,0.91582,0.88057,0.93286,0.72067,0.80075,0.461,1.1426,0.0083368,0.0083368,0.0083368
86,65192.5,0.95042,0.68307,1.24764,0.92439,0.87714,0.933,0.72057,0.80045,0.46196,1.14295,0.008317,0.008317,0.008317
87,65951.5,0.94796,0.67789,1.24586,0.92418,0.87871,0.935,0.72105,0.79777,0.46194,1.14127,0.0082972,0.0082972,0.0082972
88,66713.6,0.94602,0.68242,1.24388,0.92712,0.87695,0.93404,0.72047,0.79822,0.46465,1.1406,0.0082774,0.0082774,0.0082774
89,67473.1,0.94618,0.6806,1.24395,0.91803,0.88173,0.93401,0.72221,0.79548,0.4628,1.1382,0.0082576,0.0082576,0.0082576
90,68235.3,0.945,0.67852,1.24173,0.91327,0.88291,0.9328,0.72164,0.79409,0.45998,1.13694,0.0082378,0.0082378,0.0082378
91,68995.3,0.94861,0.67938,1.24567,0.91671,0.8808,0.9326,0.71997,0.79508,0.45869,1.13714,0.008218,0.008218,0.008218
92,69756.8,0.94631,0.67295,1.24255,0.91452,0.88954,0.93328,0.72175,0.79395,0.45784,1.13656,0.0081982,0.0081982,0.0081982
93,70530.5,0.941,0.67399,1.24189,0.91403,0.89294,0.93415,0.72245,0.79283,0.45932,1.13612,0.0081784,0.0081784,0.0081784
94,71303.5,0.94696,0.67314,1.24175,0.91136,0.89093,0.93156,0.72381,0.79189,0.45847,1.13513,0.0081586,0.0081586,0.0081586
95,72060.4,0.94237,0.67667,1.24227,0.91782,0.89546,0.93722,0.7255,0.79021,0.45751,1.13441,0.0081388,0.0081388,0.0081388
96,72816.3,0.94358,0.67395,1.24124,0.91553,0.88281,0.9341,0.72599,0.79155,0.45816,1.13472,0.008119,0.008119,0.008119
97,73572.7,0.93705,0.6693,1.23672,0.90082,0.89521,0.93146,0.72648,0.79123,0.45619,1.13478,0.0080992,0.0080992,0.0080992
98,74329.1,0.94382,0.67145,1.23836,0.91343,0.88332,0.93479,0.72749,0.79303,0.45241,1.13547,0.0080794,0.0080794,0.0080794
99,75082.9,0.93786,0.67065,1.23589,0.91692,0.89,0.9373,0.72701,0.79391,0.4497,1.13572,0.0080596,0.0080596,0.0080596
100,75840.3,0.93804,0.67114,1.24022,0.91703,0.89302,0.93451,0.72592,0.79325,0.44858,1.13584,0.0080398,0.0080398,0.0080398
101,76596.2,0.9388,0.66386,1.23679,0.91413,0.88849,0.9333,0.72674,0.79278,0.45068,1.13584,0.00802,0.00802,0.00802
102,77353.1,0.9397,0.66769,1.23881,0.91073,0.89371,0.93151,0.72643,0.79245,0.44881,1.13511,0.0080002,0.0080002,0.0080002
